time,KE,dt
0.00129,229774402.44255,2.6440416544962e-05
0.0013,235512302.238,2.6440416544961e-05
0.00131,241337746.56375,2.6440416544961e-05
0.00132,247249813.89205,2.4656239373455e-05
0.00133,253248605.80394,2.6440416544962e-05
0.00134,259335274.67755,2.6440416544961e-05
0.00135,265511935.63666,2.6212655463978e-05
0.00136,271781479.08452,2.0491322822347e-05
0.00137,278147311.69019,2.3321758698706e-05
0.00138,284613060.08341,2.520071431303e-05
0.00139,291182272.3449,2.520071431303e-05
0.0014,297858148.32109,2.6440416544961e-05
0.00141,304643322.31491,2.3913882356364e-05
0.00142,311539712.72335,2.520071431303e-05
0.00143,318548444.41934,2.5200714313128e-05
0.00144,325669842.40075,2.2939859997207e-05
0.00145,332903490.08168,2.644041654496e-05
0.00146,340248342.4338,2.6440416544962e-05
0.00147,347702882.81454,2.6440416544961e-05
0.00148,355265311.73124,2.6440416544961e-05
0.00149,362933755.65741,2.6440416544961e-05
0.0015,370706483.86984,2.6440416544961e-05
0.00151,378582120.9199,2.3110532152027e-05
0.00152,386559841.9384,2.6440416544961e-05
0.00153,394639537.70898,2.4669832541098e-05
0.00154,402821936.66231,2.6440416544961e-05
0.00155,411108672.06941,2.6440416544962e-05
0.00156,419502284.91978,2.5510606237376e-05
0.00157,428006156.69274,2.6440416544962e-05
0.00158,436624371.30235,2.6440416544961e-05
0.00159,445361511.68474,2.5122637949004e-05
0.0016,454222403.24742,2.2182308039536e-05
0.00161,463211822.83464,2.6440416544961e-05
0.00162,472334197.02896,2.6440416544962e-05
0.00163,481593316.628,2.6440416544962e-05
0.00164,490992094.36639,2.6440416544962e-05
0.00165,500532390.10164,2.5586504363291e-05
0.00166,510214921.89857,2.6440416544961e-05
0.00167,520039273.27423,2.6440416544961e-05
0.00168,530003997.19037,2.6440416544962e-05
0.00169,540106807.3265,2.6440416544962e-05
0.0017,550344837.93897,2.6440416544961e-05
0.00171,560714946.38657,2.6440416544961e-05
0.00172,571214028.11467,2.6440416544961e-05
0.00173,581839313.0959,2.6440416544961e-05
0.00174,592588615.51803,2.6440416544961e-05
0.00175,603460514.46411,2.4645088233274e-05
0.00176,614454451.56779,2.6440416544961e-05
0.00177,625570740.99378,2.412188609567e-05
0.00178,636810496.32281,2.6440416544961e-05
0.00179,648175486.87098,2.6440416544961e-05
0.0018,659667941.79476,2.6440416544961e-05
0.00181,671290323.56984,2.6440416544961e-05
0.00182,683045093.05681,2.6440416544961e-05
0.00183,694934486.77486,2.6440416544961e-05
0.00184,706960323.763,2.6440416544961e-05
0.00185,719123855.29072,2.6440416544961e-05
0.00186,731425666.35152,2.6440416544961e-05
0.00187,743865633.82509,2.6440416544961e-05
0.00188,756442942.64719,2.6440416544961e-05
0.00189,769156158.27178,2.6440416544961e-05
0.0019,782003350.90504,2.6440416544961e-05
0.00191,794982264.25845,2.6440416544962e-05
0.00192,808090518.76466,2.6440416544961e-05
0.00193,821325836.32153,2.6440416544962e-05
0.00194,834686271.04406,2.6440416544961e-05
0.00195,848170428.63304,2.6440416544961e-05
0.00196,861777656.26742,2.6440416544961e-05
0.00197,875508185.90611,2.6440416544961e-05
0.00198,889363216.66361,2.4178135232186e-05
0.00199,903344926.46123,2.3740770091316e-05
0.002,917456409.13233,2.6440416544961e-05
0.00201,931701539.91281,2.6440416544961e-05
0.00202,946084779.07702,2.6440416544961e-05
0.00203,960610929.5508,2.6440416544961e-05
0.00204,975284868.96404,2.6440416544961e-05
0.00205,990111279.2354,2.6440416544961e-05
0.00206,1005094397.0797,2.6440416544961e-05
0.00207,1020237806.7381,2.1011488651548e-05
0.00208,1035544291.9641,2.6440416544961e-05
0.00209,1051015758.2735,2.6440416544961e-05
0.0021,1066653229.3528,2.6440416544961e-05
0.00211,1082456914.0978,2.6440416544961e-05
0.00212,1098426333.8375,2.6440416544961e-05
0.00213,1114560493.6824,2.6440416544962e-05
0.00214,1130858078.2553,2.6440416544961e-05
0.00215,1147317650.6972,2.6440416544961e-05
0.00216,1163937834.8814,2.6440416544961e-05
0.00217,1180717463.9572,2.6440416544961e-05
0.00218,1197655683.1972,2.6440416544961e-05
0.00219,1214752000.874,2.5025576933713e-05
0.0022,1232006286.7955,2.6440416544961e-05
0.00221,1249418723.4508,2.3949208033229e-05
0.00222,1266989718.8923,2.6440416544961e-05
0.00223,1284719793.1913,2.6440416544961e-05
0.00224,1302609451.4808,2.6440416544961e-05
0.00225,1320659056.4059,2.6440416544962e-05
0.00226,1338868711.536,2.6440416544961e-05
0.00227,1357238165.3191,2.6440416544961e-05
0.00228,1375766742.8001,2.6440416544961e-05
0.00229,1394453309.913,2.6440416544962e-05
0.0023,1413296272.781,2.5025576932926e-05
0.00231,1432293612.2476,2.6440416544961e-05
0.00232,1451442951.7574,2.5025576933599e-05
0.00233,1470741654.7197,2.6440416544961e-05
0.00234,1490186945.6576,2.6440416544961e-05
0.00235,1509776047.7544,2.6440416544961e-05
0.00236,1529506328.0477,2.6440416544961e-05
0.00237,1549375440.6197,2.6440416544961e-05
0.00238,1569381457.8543,2.6440416544961e-05
0.00239,1589522980.3266,2.6440416544961e-05
0.0024,1609799217.211,2.6440416544961e-05
0.00241,1630210031.194,2.6440416544961e-05
0.00242,1650755944.6249,2.6440416544961e-05
0.00243,1671438106.7518,2.6440416544961e-05
0.00244,1692258225.0834,2.6440416544961e-05
0.00245,1713218467.0372,2.5025576933599e-05
0.00246,1734321340.1913,2.6440416544961e-05
0.00247,1755569561.1485,2.6440416544962e-05
0.00248,1776965923.9371,2.6440416544961e-05
0.00249,1798513178.2042,2.6440416544961e-05
0.0025,1820213926.0632,2.6440416544962e-05
0.00251,1842070544.371,2.6440416544961e-05
0.00252,1864085136.3555,2.6440416544961e-05
0.00253,1886259513.3613,2.6440416544961e-05
0.00254,1908595204.3858,2.6440416544961e-05
0.00255,1931093488.3236,2.5025576933599e-05
0.00256,1953755441.7091,2.5025576933599e-05
0.00257,1976581993.5248,2.6440416544961e-05
0.00258,1999573978.3647,2.6440416544961e-05
0.00259,2022732179.9449,2.6440416544961e-05
0.0026,2046057358.5662,2.6440416544961e-05
0.00261,2069550258.3719,2.6440416544961e-05
0.00262,2093211592.8578,2.6440416544961e-05
0.00263,2117042009.7681,2.6440416544962e-05
0.00264,2141042038.9269,2.6440416544961e-05
0.00265,2165212028.4841,2.0750428474086e-05
0.00266,2189552076.2857,2.5025576932922e-05
0.00267,2214061963.5689,2.6440416544961e-05
0.00268,2238741097.9268,2.6440416544961e-05
0.00269,2263588471.5745,2.6440416544961e-05
0.0027,2288602639.5417,2.6440416544961e-05
0.00271,2313781720.6871,2.5025576932848e-05
0.00272,2339123422.5538,2.5025576932848e-05
0.00273,2364625089.2261,2.5025576933595e-05
0.00274,2390283769.6617,2.6440416544961e-05
0.00275,2416096302.5322,2.6440416544961e-05
0.00276,2442059412.4947,2.6440416544961e-05
0.00277,2468169812.0893,2.6440416544961e-05
0.00278,2494424303.1227,2.6440416544961e-05
0.00279,2520819871.4679,2.6440416544962e-05
0.0028,2547353769.6801,2.6440416544961e-05
0.00281,2574023582.6833,2.6440416544961e-05
0.00282,2600827272.9948,2.6440416544961e-05
0.00283,2627763203.4396,2.5025576932926e-05
0.00284,2654830136.9663,2.6440416544961e-05
0.00285,2682027214.9353,2.6440416544961e-05
0.00286,2709353916.9689,2.4432086708133e-05
0.00287,2736810006.9292,2.6440416544961e-05
0.00288,2764395470.737,2.6440416544961e-05
0.00289,2792110452.3743,2.5025576933574e-05
0.0029,2819955194.4736,2.6440416544961e-05
0.00291,2847929989.3273,2.6440416544961e-05
0.00292,2876035144.9703,2.6440416544961e-05
0.00293,2904270969.2997,2.6440416544961e-05
0.00294,2932637773.1535,2.6440416544961e-05
0.00295,2961135891.068,2.6440416544961e-05
0.00296,2989765716.3148,2.5025576932921e-05
0.00297,3018527745.0469,2.6440416544961e-05
0.00298,3047422623.0524,2.6440416544961e-05
0.00299,3076451188.0753,2.6440416544961e-05
0.003,3105614500.8134,2.6440416544961e-05
0.00301,3134913858.5439,2.6013028130527e-05
0.00302,3164350786.9483,2.6440416544961e-05
0.00303,3193927007.6814,2.6440416544961e-05
0.00304,3223644381.5508,2.6440416544961e-05
0.00305,3253504829.4482,2.6440416544961e-05
0.00306,3283510235.4943,2.6440416544961e-05
0.00307,3313662338.4973,2.5025576932926e-05
0.00308,3343962618.9881,2.6440416544961e-05
0.00309,3374412189.773,2.6440416544961e-05
0.0031,3405011697.8443,2.5025576932848e-05
0.00311,3435761244.778,2.6440416544961e-05
0.00312,3466660331.506,2.6440416544961e-05
0.00313,3497707831.6605,2.6440416544961e-05
0.00314,3528901995.7009,2.6440416544961e-05
0.00315,3560240485.9079,2.6440416544961e-05
0.00316,3591720440.1895,2.6440416544961e-05
0.00317,3623338560.674,2.6440416544962e-05
0.00318,3655091221.3682,2.6440416544962e-05
0.00319,3686974587.8916,2.6440416544961e-05
0.0032,3718984741.5481,2.6440416544961e-05
0.00321,3751117799.7757,2.6440416544961e-05
0.00322,3783370025.4582,2.6440416544961e-05
0.00323,3815737918.5576,2.6440416544961e-05
0.00324,3848218285.0272,2.6440416544961e-05
0.00325,3880808279.8612,2.6440416544961e-05
0.00326,3913505423.2695,2.6440416544961e-05
0.00327,3946307591.1545,2.6440416544962e-05
0.00328,3979212983.1165,2.6440416544961e-05
0.00329,4012220072.9856,2.6440416544961e-05
0.0033,4045327548.1205,2.6440416544955e-05
0.00331,4078534244.4389,2.6440416544961e-05
0.00332,4111839084.25,2.6440416544961e-05
0.00333,4145241023.326,2.6440416544961e-05
0.00334,4178739012.6001,2.6440416544961e-05
0.00335,4212331978.2782,2.6440416544961e-05
0.00336,4246018822.2215,2.6440416544961e-05
0.00337,4279798442.4495,2.6440416544962e-05
0.00338,4313669771.6047,2.6440416544961e-05
0.00339,4347631829.4562,2.6440416544961e-05
0.0034,4381683784.0926,2.3949208033165e-05
0.00341,4415825015.5145,2.6440416544961e-05
0.00342,4450055174.9635,2.6440416544961e-05
0.00343,4484374233.5269,2.6440416544961e-05
0.00344,4518782514.3091,2.5025576933532e-05
0.00345,4553280703.7065,2.6440416544961e-05
0.00346,4587869838.9314,2.6440416544961e-05
0.00347,4622551270.804,2.6440416544961e-05
0.00348,4657326602.7683,2.6440416544961e-05
0.00349,4692197608.9399,2.6440416544961e-05
0.0035,4727166135.6295,2.6440416544961e-05
0.00351,4762233992.1138,2.6440416544961e-05
0.00352,4797402837.225,2.6440416544961e-05
0.00353,4832674068.7104,2.6440416544961e-05
0.00354,4868048722.1194,2.6440416544961e-05
0.00355,4903527385.3122,2.6440416544962e-05
0.00356,4939110133.6328,2.6440416544962e-05
0.00357,4974796489.3077,2.6440416544961e-05
0.00358,5010585406.9617,2.6440416544961e-05
0.00359,5046475285.4062,2.6440416544961e-05
0.0036,5082464004.1415,2.6440416544961e-05
0.00361,5118548981.4061,2.6440416544961e-05
0.00362,5154727249.3012,2.6440416544961e-05
0.00363,5190995540.6212,2.5025576932968e-05
0.00364,5227350381.5033,2.3949208032646e-05
0.00365,5263788183.9885,2.6440416544962e-05
0.00366,5300305332.9981,2.6440416544961e-05
0.00367,5336898263.0695,2.6440416544961e-05
0.00368,5373563521.3548,2.6440416544961e-05
0.00369,5410297814.7719,2.6440416544961e-05
0.0037,5447098040.6919,2.6440416544961e-05
